method,variant,k,cluster,size,top_sets,representative_icon_ids
kmeans,combined,10,5,12,"[[""ISO 15223 Medical Device Symbols"", 10], [""Blissymbolics"", 2]]",d176e3613fd2e8ca 0dbe74d0ea5067c3 f1c82e0e3033e0f2 397929e89a5a2bf0 4ce46f5f8d9a06ef 9875309b29ecca62 e6e2d33ceb0e83af b566cf363514b2ce
kmeans,combined,10,6,29,"[[""AIGA/DOT Symbol Signs"", 10], [""Mapbox Maki"", 10], [""Universal Symbols Healthcare Webfont"", 7], [""ARASAAC Pictograms"", 1], [""OpenMoji"", 1]]",633d125136da3e33 bbdb16044679062a bd7774dcad9acd79 c4317c54e3675826 ca282d9b8d67354b e0760c68f28e0892 70c66f7df237db99 ce5351620f2eb860
kmeans,combined,10,7,10,"[[""McDougall Symbol/Icon Set"", 10]]",c0b01f650a9f3047 2dfb8baa45944a16 3167ff62be4a1ae7 276e0f48b2aecf30 671222e19754e444 b5c1200b37f8968d af8efb82a3eaf250 121de65a284465c5
kmeans,combined,10,8,19,"[[""Mulberry Symbols"", 10], [""OpenMoji"", 9]]",34ba5b6f56c34d2d 9099811c08fecfa1 960c8c87ff30f1bf f81f3d24abe2590e d35e50aec0a064c5 0a8d3ea6a14b7694 59f7cf4b24c41dc4 8419e26eaf8a2ed7
kmeans,combined,10,9,10,"[[""OCHA Humanitarian Icons"", 10]]",13c91a98bdfe97db c3af4581e34e912a 714e0ea28c0b44d6 8b56c33a174b9ce3 ccaf59c0ceb35dab 5cea9f126476238d e0d2e112cc0df560 47e3bd73efa382ae
hierarchical,combined,3,0,1,"[[""McDougall Symbol/Icon Set"", 1]]",38fcc454e8b76e8a
hierarchical,combined,3,1,9,"[[""McDougall Symbol/Icon Set"", 9]]",c0b01f650a9f3047 2dfb8baa45944a16 3167ff62be4a1ae7 b5c1200b37f8968d 276e0f48b2aecf30 671222e19754e444 af8efb82a3eaf250 121de65a284465c5
hierarchical,combined,3,2,119,"[[""AIGA/DOT Symbol Signs"", 10], [""Mapbox Maki"", 10], [""OCHA Humanitarian Icons"", 10], [""Mulberry Symbols"", 10], [""Blissymbolics"", 10]]",34ba5b6f56c34d2d 47e3bd73efa382ae 6a09c26401d7753b 633d125136da3e33 70c66f7df237db99 bbdb16044679062a bd7774dcad9acd79 ca282d9b8d67354b
hierarchical,combined,5,0,1,"[[""McDougall Symbol/Icon Set"", 1]]",38fcc454e8b76e8a
hierarchical,combined,5,1,7,"[[""McDougall Symbol/Icon Set"", 7]]",c0b01f650a9f3047 671222e19754e444 276e0f48b2aecf30 3167ff62be4a1ae7 2dfb8baa45944a16 121de65a284465c5 af8efb82a3eaf250
hierarchical,combined,5,2,1,"[[""McDougall Symbol/Icon Set"", 1]]",7cb54d2ffd287b95
hierarchical,combined,5,3,1,"[[""McDougall Symbol/Icon Set"", 1]]",b5c1200b37f8968d
hierarchical,combined,5,4,119,"[[""AIGA/DOT Symbol Signs"", 10], [""Mapbox Maki"", 10], [""OCHA Humanitarian Icons"", 10], [""Mulberry Symbols"", 10], [""Blissymbolics"", 10]]",34ba5b6f56c34d2d 47e3bd73efa382ae 6a09c26401d7753b 633d125136da3e33 70c66f7df237db99 bbdb16044679062a bd7774dcad9acd79 ca282d9b8d67354b
hierarchical,combined,7,0,1,"[[""McDougall Symbol/Icon Set"", 1]]",38fcc454e8b76e8a
